"Decl","Count","Files","Priority"
"Stub Dia/Box cases ? leave them admitted for now. *)","2","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"ax_PL_and2 : forall p q, Prov (Impl (And p q) q).","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"ax_PL_and1 : forall p q, Prov (Impl (And p q) p).","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"maximal_or_prime : forall ? p q, maximal ? -> In_set ? (Or p q) -> In_set ? p \/ In_set ? q.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Small axiom: maximal sets are prime for disjunctions (classical property).","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Propositional helper axioms used by the skeleton (standard Hilbert schemata) *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"a thin axiom pointing to the expected behavior so the skeleton compiles while","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"unfolding : ? -> ? -> Prop.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"closure : ? -> ? -> Prop.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Medium"
"forces_indep_witness :","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Compatibility axiom: forces are independent of which maximal witness is picked. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"maximal_not_Bot_admit : forall ?, Maximal ? -> ~ In_set ? Bot.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"in the sketch. Replace hook-names below if your project uses","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"reduce admitted stubs and are safe while `truth_lemma_can` remains","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"Non-modal helpers that use the current canonical-truth axiom.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"Use the successor axiom to obtain a maximal ? with the required property. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Now use the canonical-truth axiom at ? to obtain forces at the (definitionally equal) world u. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"from ? to ? and finally to forces via the canonical-truth axiom. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"truth_lemma_can_set relates In_set and forces at the canonical witness (admitted in sketch). *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Full backward for implication (uses Lindenbaum/successor argument) - keep admitted as scaffold) *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Negation: both directions using the admitted canonical truth lemma and IH *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Heavy"
"Final skeleton: state the full lemma and leave it Admitted for now so you can iterate.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"Build a successor ? containing p using the successor axiom and use it as the witness *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"(* Otherwise use the successor axiom to build ? extending boxes of ? containing ?p, then","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Truth_Skeleton.v","Trivial"
"notProv_neg_consistent : forall p, ~ Prov p -> consistent (fun q => q = Neg p).","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"lindenbaum_sig : forall ?, consistent ? -> { ? : set | extends ? ? /\ maximal ? }.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"can_R_trans : forall ? ? ?: can_world, can_R ? ? -> can_R ? ? -> can_R ? ?.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"axioms (can_R_symm, can_R_trans) and the lemmas above. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Medium"
"identifiers but expose them as admitted Lemmas so the development","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Heavy"
"Convenience Hilbert axioms used by the skeleton proofs: left/right disjunction","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Heavy"
"can_R_euclidean_ax :","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Medium"
"maximal_closure_MP_ax : forall ? ? ?, maximal ? -> In_set ? (Impl ? ?) -> In_set ? ? -> In_set ? ?.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"maximal_contains_theorems_ax : forall ? ?, maximal ? -> Prov ? -> In_set ? ?.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"can_R_symm : forall ? ?: can_world, can_R ? ? -> can_R ? ?.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"them here as axioms to keep TEMP_minimal minimal. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Heavy"
"Additional relational axioms for can_R; some are proven in other files, so we","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"truth_lemma_ax : forall (w:can_world) (p:form), In_set (proj1_sig w) p <-> forces w p.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"order. This lemma simply flips the ? produced by the axiom so both","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Trivial"
"truth_lemma_can : forall ? (Hmax: maximal ?) ?,","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Trivial"
"prov_imp_from_neg_l :","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Heavy"
"exists_maximal_extending_boxes_with_formula :","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Trivial"
"the Box-projections of ? and contains ?. Kept as an axiom","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Heavy"
"Small Prop-only helper lemmas to discharge simple axioms. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Trivial"
"canonical_eval_to_forces_ax : forall (w:can_world) (p:form),","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"truth_lemma_from_forces_ax : forall (w:can_world) (p:form), forces w p -> In_set (proj1_sig w) p.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"truth_lemma_to_forces_ax : forall (w:can_world) (p:form), In_set (proj1_sig w) p -> forces w p.","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
"--- Close small remaining helper by declaring as an axiom --- *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Heavy"
"Propositional axioms and basic helpers are declared earlier in the file. *)","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\PXL_Completeness_Sketch.v","Heavy"
"canonical_forces_to_eval_ax : forall (w:can_world) (p:form),","1","C:\Users\proje\OneDrive\Desktop\LOGOS\PROJECT LOGOS 2025\Protopraxic Logic\Protopraxic_Meta_Logic\Protopraxic_Meta_Logic-1\proof_checking\pxl_completeness_proofs_v4\pxl_phase4_completeness\coq\TEMP_minimal.v","Trivial"
